"STATION","NAME","DATE","TMAX","TMIN"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-08-07","65","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-08-08","67","57"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-08-09","69","58"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-08-10","74","57"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-08-11","79","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-08-12","70","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-08-13","72","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-08-14","75","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-08-15","74","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-08-16","78","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-08-17","70","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-08-18","68","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-08-19","69","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-08-20","73","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-08-21","70","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-08-22","74","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-08-23","69","57"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-08-24","75","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-08-25","73","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-08-26","70","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-08-27","71","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-08-28","75","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-08-29","63","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-08-30","71","60"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-08-31","67","58"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-09-01","63","59"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-09-02","70","58"
