"STATION","NAME","DATE","TMAX","TMIN"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-08-02","87","66"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-08-03","84","65"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-08-04","83","65"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-08-05","85","66"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-08-06","84","65"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-08-07","81","64"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-08-08","82","64"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-08-09","84","62"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-08-10","90","65"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-08-11","92","65"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-08-12","90","65"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-08-13","91","65"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-08-14","89","67"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-08-15","88","68"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-08-16","93","69"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-08-17","92","69"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-08-18","90","68"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-08-19","87","65"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-08-20","84","63"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-08-21","82","64"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-08-22","80","64"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-08-23","81","64"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-08-24","82","65"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-08-25","82","64"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-08-26","81","63"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-08-27","79","63"
